office,town,candidate,party,votes,vote_percent
Representative in Congress 01,statewide,Mary Fay,R,8915,57.35%
Representative in Congress 01,statewide,Jim Griffin,R,6631,42.65%
Registrar of Voters,statewide,Vanessa Garay-Jackson,R,111,54.41%
Registrar of Voters,statewide,Sheila N. Hall,R,93,45.59%
Registrar of Voters,statewide,Jeffrey Rogers,R,393,60.55%
Registrar of Voters,statewide,Dana McFee,R,256,39.45%
State Senator 26,statewide,Kim Healy,R,2909,60.55%
State Senator 26,statewide,William Duff,R,1895,39.45%
State Representative 30,statewide,Donna Veach,R,928,59.68%
State Representative 30,statewide,Jim Townsley,R,627,40.32%
State Representative 82,statewide,Mike Skelps,R,547,73.82%
State Representative 82,statewide,Ernestine Holloway,R,194,26.18%
State Representative 128,statewide,Joseph J. Borges,R,20,33.33%
State Representative 128,statewide,Ethan Book,R,40,66.67%
Representative in Congress 02,statewide,Thomas Gilmer,R,9407,49.79%
Representative in Congress 02,statewide,Justin Anderson,R,9485,50.21%
Representative in Congress 02,Andover,Thomas Gilmer,R,57,51.82%
Representative in Congress 02,Andover,Justin Anderson,R,53,48.18%
Representative in Congress 02,Ashford,Thomas Gilmer,R,75,47.47%
Representative in Congress 02,Ashford,Justin Anderson,R,83,52.53%
Representative in Congress 01,Barkhamsted,Mary Fay,R,78,47.56%
Representative in Congress 01,Barkhamsted,Jim Griffin,R,86,52.44%
Representative in Congress 01,Berlin,Mary Fay,R,681,58.06%
Representative in Congress 01,Berlin,Jim Griffin,R,492,41.94%
State Representative 30,Berlin,Donna Veach,R,713,72.90%
State Representative 30,Berlin,Jim Townsley,R,265,27.10%
State Senator 26,Bethel,Kim Healy,R,170,25.68%
State Senator 26,Bethel,William Duff,R,492,74.32%
Representative in Congress 01,Bloomfield,Mary Fay,R,135,50.75%
Representative in Congress 01,Bloomfield,Jim Griffin,R,131,49.25%
Representative in Congress 02,Bolton,Thomas Gilmer,R,123,51.04%
Representative in Congress 02,Bolton,Justin Anderson,R,118,48.96%
Representative in Congress 02,Bozrah,Thomas Gilmer,R,35,41.18%
Representative in Congress 02,Bozrah,Justin Anderson,R,50,58.82%
State Representative 128,Bridgeport,Joseph J. Borges,R,20,33.33%
State Representative 128,Bridgeport,Ethan Book,R,40,66.67%
Representative in Congress 01,Bristol,Mary Fay,R,723,51.83%
Representative in Congress 01,Bristol,Jim Griffin,R,672,48.17%
Representative in Congress 02,Brooklyn,Thomas Gilmer,R,123,50.62%
Representative in Congress 02,Brooklyn,Justin Anderson,R,120,49.38%
Representative in Congress 02,Canterbury,Thomas Gilmer,R,68,33.50%
Representative in Congress 02,Canterbury,Justin Anderson,R,135,66.50%
Representative in Congress 02,Chaplin,Thomas Gilmer,R,46,46.46%
Representative in Congress 02,Chaplin,Justin Anderson,R,53,53.54%
Representative in Congress 02,Chester,Thomas Gilmer,R,70,60.87%
Representative in Congress 02,Chester,Justin Anderson,R,45,39.13%
Representative in Congress 02,Clinton,Thomas Gilmer,R,224,46.19%
Representative in Congress 02,Clinton,Justin Anderson,R,261,53.81%
Representative in Congress 02,Colchester,Thomas Gilmer,R,225,43.77%
Representative in Congress 02,Colchester,Justin Anderson,R,289,56.23%
Representative in Congress 01,Colebrook,Mary Fay,R,44,68.75%
Representative in Congress 01,Colebrook,Jim Griffin,R,20,31.25%
Representative in Congress 02,Columbia,Thomas Gilmer,R,86,46.74%
Representative in Congress 02,Columbia,Justin Anderson,R,98,53.26%
Representative in Congress 02,Coventry,Thomas Gilmer,R,198,51.30%
Representative in Congress 02,Coventry,Justin Anderson,R,188,48.70%
Representative in Congress 01,Cromwell,Mary Fay,R,222,58.27%
Representative in Congress 01,Cromwell,Jim Griffin,R,159,41.73%
Representative in Congress 02,Deep River,Thomas Gilmer,R,61,57.55%
Representative in Congress 02,Deep River,Justin Anderson,R,45,42.45%
Representative in Congress 02,Eastford,Thomas Gilmer,R,38,46.91%
Representative in Congress 02,Eastford,Justin Anderson,R,43,53.09%
Representative in Congress 01,East Granby,Mary Fay,R,98,54.75%
Representative in Congress 01,East Granby,Jim Griffin,R,81,45.25%
Representative in Congress 02,East Haddam,Thomas Gilmer,R,72,16.82%
Representative in Congress 02,East Haddam,Justin Anderson,R,356,83.18%
Representative in Congress 02,East Hampton,Thomas Gilmer,R,143,41.69%
Representative in Congress 02,East Hampton,Justin Anderson,R,200,58.31%
