office,town,candidate,party,votes,vote_percent
United States Senator,statewide,Themis Klarides,R,37072,39.98%
United States Senator,statewide,Leora R. Levy,R,46943,50.63%
United States Senator,statewide,Peter Lumaj,R,8703,9.39%
Representative in Congress 04,statewide,Jayme Stevenson,R,9962,60.31%
Representative in Congress 04,statewide,Michael Ted Goldstein,R,6555,39.69%
State Representative 69,statewide,Jason Buchsbaum,R,869,48.71%
State Representative 69,statewide,Cindy Harrison,R,915,51.29%
State Representative 78,statewide,Joe Hoxha,R,802,74.95%
State Representative 78,statewide,Aileen Abrams,R,268,25.05%
Secretary of the State,statewide,Dominic Rapini,R,51219,58.22%
Secretary of the State,statewide,Terrie E. Wood,R,36749,41.78%
Judge of Probate 21,statewide,Rosa C. Rebimbas,R,1584,57.39%
Judge of Probate 21,statewide,Peter E. Mariano,R,1176,42.61%
Registrar of Voters,statewide,Julianne Shilosky,R,443,67.33%
Registrar of Voters,statewide,Rachel Fuller,R,215,32.67%
United States Senator,Andover,Themis Klarides,R,52,34.21%
United States Senator,Andover,Leora R. Levy,R,84,55.26%
United States Senator,Andover,Peter Lumaj,R,16,10.53%
Secretary of the State,Andover,Dominic Rapini,R,85,59.44%
Secretary of the State,Andover,Terrie E. Wood,R,58,40.56%
United States Senator,Ansonia,Themis Klarides,R,199,51.03%
United States Senator,Ansonia,Leora R. Levy,R,165,42.31%
United States Senator,Ansonia,Peter Lumaj,R,26,6.67%
Secretary of the State,Ansonia,Dominic Rapini,R,228,64.96%
Secretary of the State,Ansonia,Terrie E. Wood,R,123,35.04%
United States Senator,Ashford,Themis Klarides,R,51,35.17%
United States Senator,Ashford,Leora R. Levy,R,78,53.79%
United States Senator,Ashford,Peter Lumaj,R,16,11.03%
Secretary of the State,Ashford,Dominic Rapini,R,72,52.94%
Secretary of the State,Ashford,Terrie E. Wood,R,64,47.06%
United States Senator,Avon,Themis Klarides,R,325,42.26%
United States Senator,Avon,Leora R. Levy,R,368,47.85%
United States Senator,Avon,Peter Lumaj,R,76,9.88%
Secretary of the State,Avon,Dominic Rapini,R,440,59.86%
Secretary of the State,Avon,Terrie E. Wood,R,295,40.14%
United States Senator,Barkhamsted,Themis Klarides,R,76,34.08%
United States Senator,Barkhamsted,Leora R. Levy,R,112,50.22%
United States Senator,Barkhamsted,Peter Lumaj,R,35,15.70%
Secretary of the State,Barkhamsted,Dominic Rapini,R,114,55.61%
Secretary of the State,Barkhamsted,Terrie E. Wood,R,91,44.39%
United States Senator,Beacon Falls,Themis Klarides,R,178,56.33%
United States Senator,Beacon Falls,Leora R. Levy,R,120,37.97%
United States Senator,Beacon Falls,Peter Lumaj,R,18,5.70%
Secretary of the State,Beacon Falls,Dominic Rapini,R,178,59.14%
Secretary of the State,Beacon Falls,Terrie E. Wood,R,123,40.86%
Judge of Probate 21,Beacon Falls,Rosa C. Rebimbas,R,187,61.11%
Judge of Probate 21,Beacon Falls,Peter E. Mariano,R,119,38.89%
United States Senator,Berlin,Themis Klarides,R,285,31.70%
United States Senator,Berlin,Leora R. Levy,R,516,57.40%
United States Senator,Berlin,Peter Lumaj,R,98,10.90%
Secretary of the State,Berlin,Dominic Rapini,R,544,62.82%
Secretary of the State,Berlin,Terrie E. Wood,R,322,37.18%
United States Senator,Bethany,Themis Klarides,R,161,52.44%
United States Senator,Bethany,Leora R. Levy,R,129,42.02%
United States Senator,Bethany,Peter Lumaj,R,17,5.54%
Secretary of the State,Bethany,Dominic Rapini,R,177,61.03%
Secretary of the State,Bethany,Terrie E. Wood,R,113,38.97%
United States Senator,Bethel,Themis Klarides,R,188,34.56%
United States Senator,Bethel,Leora R. Levy,R,294,54.04%
United States Senator,Bethel,Peter Lumaj,R,62,11.40%
Secretary of the State,Bethel,Dominic Rapini,R,296,57.36%
Secretary of the State,Bethel,Terrie E. Wood,R,220,42.64%
United States Senator,Bethlehem,Themis Klarides,R,85,42.08%
United States Senator,Bethlehem,Leora R. Levy,R,94,46.53%
United States Senator,Bethlehem,Peter Lumaj,R,23,11.39%
Secretary of the State,Bethlehem,Dominic Rapini,R,120,64.86%
Secretary of the State,Bethlehem,Terrie E. Wood,R,65,35.14%
United States Senator,Bloomfield,Themis Klarides,R,107,44.40%
United States Senator,Bloomfield,Leora R. Levy,R,106,43.98%
United States Senator,Bloomfield,Peter Lumaj,R,28,11.62%
Secretary of the State,Bloomfield,Dominic Rapini,R,130,56.77%
Secretary of the State,Bloomfield,Terrie E. Wood,R,99,43.23%
United States Senator,Bolton,Themis Klarides,R,96,37.50%
United States Senator,Bolton,Leora R. Levy,R,136,53.13%
United States Senator,Bolton,Peter Lumaj,R,24,9.38%
Secretary of the State,Bolton,Dominic Rapini,R,135,56.96%
Secretary of the State,Bolton,Terrie E. Wood,R,102,43.04%
United States Senator,Bozrah,Themis Klarides,R,31,28.44%
United States Senator,Bozrah,Leora R. Levy,R,54,49.54%
United States Senator,Bozrah,Peter Lumaj,R,24,22.02%
Secretary of the State,Bozrah,Dominic Rapini,R,66,61.68%
Secretary of the State,Bozrah,Terrie E. Wood,R,41,38.32%
United States Senator,Branford,Themis Klarides,R,375,45.57%
United States Senator,Branford,Leora R. Levy,R,402,48.85%
United States Senator,Branford,Peter Lumaj,R,46,5.59%
Secretary of the State,Branford,Dominic Rapini,R,580,73.42%
Secretary of the State,Branford,Terrie E. Wood,R,210,26.58%
United States Senator,Bridgeport,Themis Klarides,R,174,35.80%
United States Senator,Bridgeport,Leora R. Levy,R,265,54.53%
United States Senator,Bridgeport,Peter Lumaj,R,47,9.67%
Representative in Congress 04,Bridgeport,Jayme Stevenson,R,237,50.43%
Representative in Congress 04,Bridgeport,Michael Ted Goldstein,R,233,49.57%
Secretary of the State,Bridgeport,Dominic Rapini,R,269,57.85%
Secretary of the State,Bridgeport,Terrie E. Wood,R,196,42.15%
United States Senator,Bridgewater,Themis Klarides,R,67,45.89%
United States Senator,Bridgewater,Leora R. Levy,R,60,41.10%
United States Senator,Bridgewater,Peter Lumaj,R,19,13.01%
State Representative 69,Bridgewater,Jason Buchsbaum,R,47,31.54%
State Representative 69,Bridgewater,Cindy Harrison,R,102,68.46%
Secretary of the State,Bridgewater,Dominic Rapini,R,74,54.01%
Secretary of the State,Bridgewater,Terrie E. Wood,R,63,45.99%
United States Senator,Bristol,Themis Klarides,R,658,35.51%
United States Senator,Bristol,Leora R. Levy,R,981,52.94%
United States Senator,Bristol,Peter Lumaj,R,214,11.55%
State Representative 78,Bristol,Joe Hoxha,R,365,73.00%
State Representative 78,Bristol,Aileen Abrams,R,135,27.00%
Secretary of the State,Bristol,Dominic Rapini,R,1129,63.82%
Secretary of the State,Bristol,Terrie E. Wood,R,640,36.18%
United States Senator,Brookfield,Themis Klarides,R,251,34.43%
United States Senator,Brookfield,Leora R. Levy,R,391,53.64%
United States Senator,Brookfield,Peter Lumaj,R,87,11.93%
Secretary of the State,Brookfield,Dominic Rapini,R,400,57.31%
Secretary of the State,Brookfield,Terrie E. Wood,R,298,42.69%
United States Senator,Brooklyn,Themis Klarides,R,57,25.45%
United States Senator,Brooklyn,Leora R. Levy,R,143,63.84%
United States Senator,Brooklyn,Peter Lumaj,R,24,10.71%
Secretary of the State,Brooklyn,Dominic Rapini,R,118,54.88%
Secretary of the State,Brooklyn,Terrie E. Wood,R,97,45.12%
United States Senator,Burlington,Themis Klarides,R,152,29.92%
United States Senator,Burlington,Leora R. Levy,R,294,57.87%
United States Senator,Burlington,Peter Lumaj,R,62,12.20%
Secretary of the State,Burlington,Dominic Rapini,R,309,63.71%
Secretary of the State,Burlington,Terrie E. Wood,R,176,36.29%
United States Senator,Canaan,Themis Klarides,R,17,44.74%
United States Senator,Canaan,Leora R. Levy,R,18,47.37%
United States Senator,Canaan,Peter Lumaj,R,3,7.89%
Secretary of the State,Canaan,Dominic Rapini,R,14,37.84%
Secretary of the State,Canaan,Terrie E. Wood,R,23,62.16%
United States Senator,Canterbury,Themis Klarides,R,55,23.91%
United States Senator,Canterbury,Leora R. Levy,R,130,56.52%
United States Senator,Canterbury,Peter Lumaj,R,45,19.57%
Secretary of the State,Canterbury,Dominic Rapini,R,134,60.63%
Secretary of the State,Canterbury,Terrie E. Wood,R,87,39.37%
United States Senator,Canton,Themis Klarides,R,172,39.09%
United States Senator,Canton,Leora R. Levy,R,228,51.82%
United States Senator,Canton,Peter Lumaj,R,40,9.09%
Secretary of the State,Canton,Dominic Rapini,R,268,63.06%
Secretary of the State,Canton,Terrie E. Wood,R,157,36.94%
United States Senator,Chaplin,Themis Klarides,R,48,39.34%
United States Senator,Chaplin,Leora R. Levy,R,56,45.90%
United States Senator,Chaplin,Peter Lumaj,R,18,14.75%
Secretary of the State,Chaplin,Dominic Rapini,R,59,52.68%
Secretary of the State,Chaplin,Terrie E. Wood,R,53,47.32%
United States Senator,Cheshire,Themis Klarides,R,454,41.35%
United States Senator,Cheshire,Leora R. Levy,R,546,49.73%
United States Senator,Cheshire,Peter Lumaj,R,98,8.93%
Secretary of the State,Cheshire,Dominic Rapini,R,698,68.70%
Secretary of the State,Cheshire,Terrie E. Wood,R,318,31.30%
United States Senator,Chester,Themis Klarides,R,53,41.73%
United States Senator,Chester,Leora R. Levy,R,64,50.39%
