office,town,candidate,party,votes,vote_percent
Town Council,statewide,Chuck Longton,D,1289,7.04%
Town Council,statewide,Denise Gladue,D,1372,7.50%
Town Council,statewide,Billy Caron,D,1704,9.31%
Town Council,statewide,Joseph W Jaskiewicz,D,1463,7.99%
Town Council,statewide,Tim May,D,1459,7.97%
Town Council,statewide,Wills Pike,R,1528,8.35%
Town Council,statewide,Raymond W Coggeshall,R,1504,8.22%
Town Council,statewide,Joseph Rogulski,R,1610,8.80%
Town Council,statewide,Tom McNally,R,1540,8.41%
Town Council,statewide,Jeff Rogers,R,1508,8.24%
Town Council,statewide,James Andriote,R,1507,8.23%
Town Council,statewide,Kathleen H Pollard,R,1819,9.94%
Mayor,statewide,Kenneth Smith,D,1348,42.92%
Mayor,statewide,Enzo Faienza,R,1793,57.08%
First Selectman,statewide,Don Stein,D,788,60.48%
First Selectman,statewide,Mark T Hemenway,R,483,37.07%
First Selectman,statewide,Deborah A Simon,PC,32,2.46%
Town Council,statewide,Jonathan B. Hand,D,1368,10.47%
Town Council,statewide,Joan A. Lewis,D,1506,11.52%
Town Council,statewide,Lisa K. Conant,D,1337,10.23%
Town Council,statewide,Samuel A. Norman,D,1185,9.07%
Town Council,statewide,Carolyn G. Arabolos,D,1256,9.61%
Town Council,statewide,Andrew N. Brodersen,R,1211,9.26%
Town Council,statewide,Richard Lloyd Williams,R,1135,8.68%
Town Council,statewide,Matthew D. O'Brien,R,1281,9.80%
Town Council,statewide,Michael A. Sobol,R,1387,10.61%
Town Council,statewide,Julie A. Blanchard,R,1405,10.75%
First Selectman,statewide,Norman M. Needleman,D,1509,66.16%
First Selectman,statewide,Vincent Pacileo,R,772,33.84%
First Selectman,statewide,Tom Banisch,R,2372,100.00%
Board of Finance,statewide,Deborah C. Bourbeau,D,694,30.53%
Board of Finance,statewide,Midge Denno,R,713,31.37%
Board of Finance,statewide,Susan Leser,R,866,38.10%
Mayor,statewide,Benjamin Blake,D,7769,100.00%
Mayor,statewide,Elinor Carbone,R,4726,89.10%
Mayor,statewide,Peter J. Aduba,PC,578,10.90%
Mayor,statewide,Jared Liu,D,4223,41.79%
Mayor,statewide,William Dickinson,R,5882,58.21%
Town Council,statewide,Liam B. Sweeney,D,7536,10.78%
Town Council,statewide,Beth Kerrigan,D,8030,11.49%
Town Council,statewide,Dallas Dodge,D,7488,10.71%
Town Council,statewide,Leon S. Davidoff,D,7849,11.23%
Town Council,statewide,Ben Wenograd,D,7376,10.55%
Town Council,statewide,Shari Cantor,D,9005,12.88%
Town Council,statewide,Ryan S. Langan,R,4270,6.11%
Town Council,statewide,Chris Williams,R,4515,6.46%
Town Council,statewide,Mary M. Fay,R,4646,6.65%
Town Council,statewide,Julie Krug,R,4370,6.25%
Town Council,statewide,Chris Barnes,R,4804,6.87%
Town Council,statewide,Richard T. O'Reilly,D,3071,11.58%
Town Council,statewide,Joe McAuliffe,D,3179,11.98%
Town Council,statewide,Jill Jenkins,D,3073,11.58%
Town Council,statewide,Donald Trinks,D,3561,13.42%
Town Council,statewide,Jody Terranova,D,3188,12.02%
Town Council,statewide,Alex M. Correia,R,1938,7.31%
Town Council,statewide,Michael D. Tustin,R,2207,8.32%
Town Council,statewide,Donald A Jepsen,R,2225,8.39%
Town Council,statewide,Kenny M. Wilkos,R,1988,7.49%
Town Council,statewide,Jim G. Govoni,R,2096,7.90%
Town Council,statewide,Charles Jackson,WI,1,0.00%
First Selectman,statewide,Cynthia J. McCorkindale,IND,257,5.40%
First Selectman,statewide,Matthew S. Knickerbocker,WF,100,2.10%
First Selectman,statewide,Matthew S. Knickerbocker,D,2836,59.64%
First Selectman,statewide,Cynthia J. McCorkindale,R,1562,32.85%
First Selectman,statewide,Matthew Cunningham,R,306,100.00%
First Selectman,statewide,Rob Richards,D,944,27.46%
First Selectman,statewide,Jayme J. Stevenson,R,2470,71.84%
