office,town,candidate,party,votes,vote_percent
First Selectman,statewide,Jeffrey J. Maguire,D,256,51.30%
First Selectman,statewide,Adrian Mandeville,R,243,48.70%
First Selectman,statewide,Derrylyn Gorski,D,933,48.82%
First Selectman,statewide,Derrylyn Gorski,D,0,0.00%
First Selectman,statewide,Paula Cofrancesco,R,978,51.18%
First Selectman,statewide,Beth Heller,D,1571,60.70%
First Selectman,statewide,Ed Weinberg,R,1017,39.30%
Board of Selectman,statewide,Eric Anderson,D,318,30.00%
Board of Selectman,statewide,Scott R. Person,D,261,24.62%
Board of Selectman,statewide,Brian Clate,R,214,20.19%
Board of Selectman,statewide,Jeffrey A. Murray,R,267,25.19%
Board of Selectmen,statewide,Clark Hurlburt,D,922,48.42%
Board of Selectmen,statewide,"Donald R Shea, Jr.",R,982,51.58%
Board of Selectmen,statewide,Mica Cardozo,D,1471,19.38%
Board of Selectmen,statewide,Sandra T. Stein,D,1432,18.87%
Board of Selectmen,statewide,Joe Crisco,D,1421,18.72%
Board of Selectmen,statewide,David A Lober,R,1074,14.15%
Board of Selectmen,statewide,Dwight C Rowland,R,1081,14.24%
Board of Selectmen,statewide,Joe Dey,R,1111,14.64%
Town Clerk,statewide,Carol H. Lee,D,287,56.16%
Town Clerk,statewide,Carol H. Lee,R,224,43.84%
Town Clerk,statewide,Nancy A McCarthy,R,1353,100.00%
Board of Education,statewide,Joyce Shavers,D,1315,26.27%
Board of Education,statewide,Todd Jokl,D,1293,25.83%
Board of Education,statewide,Lynn A Piascyk,R,1340,26.77%
Board of Education,statewide,Jeff Hughes,R,1057,21.12%
Board of Finance,statewide,Marc Jason Brinker,D,238,13.89%
Board of Finance,statewide,Louise H. Goodwin,D,274,16.00%
Board of Finance,statewide,Dennis Scott Williams,D,274,16.00%
Board of Finance,statewide,Curtis Dowling,R,311,18.16%
Board of Finance,statewide,Diane P. Choquette,R,277,16.17%
Board of Finance,statewide,Linda Fish,R,339,19.79%
Town Treasurer,statewide,Lawrence B Eisner,D,897,47.59%
Town Treasurer,statewide,Russell Scovin,R,988,52.41%
Board of Education to Fill Vacancy for Two Years,statewide,Jeffrey Townsend,D,1429,57.48%
Board of Education to Fill Vacancy for Two Years,statewide,Daniel Cowan,R,1057,42.52%
Board of Education,statewide,Daniel James Foran,D,264,25.17%
Board of Education,statewide,Shannon O'Neill Louden,D,257,24.50%
Board of Education,statewide,Steven D. Fuss,R,214,20.40%
Board of Education,statewide,Amy L. Knox,R,314,29.93%
Tax Collector,statewide,Frances K Doba,D,1182,100.00%
Board of Assessment Appeals,statewide,Jeffrey Ginzberg,D,1424,56.64%
Board of Assessment Appeals,statewide,Chuck Pyne,R,1090,43.36%
Board of Assessment Appeals,statewide,Linda L. Armstrong,D,385,32.71%
Board of Assessment Appeals,statewide,Penny Auer,R,389,33.05%
Board of Assessment Appeals,statewide,Georgette M. Conrad,R,403,34.24%
Board of Finance-Full Term,statewide,Elizabeth L Thornquist,D,872,23.24%
Board of Finance-Full Term,statewide,James A Bruni,D,812,21.64%
Board of Finance-Full Term,statewide,Lars Demander,R,1084,28.89%
Board of Finance-Full Term,statewide,Sharon Huxley,R,984,26.23%
Zoning Board of Appeals,statewide,Shawn M Flynn,D,1469,35.70%
Zoning Board of Appeals,statewide,Cynthia Gibbons,R,1331,32.35%
Zoning Board of Appeals,statewide,Robert Wiznia,R,1315,31.96%
Planning & Zoning Commission,statewide,Eric Anderson,D,382,34.38%
Planning & Zoning Commission,statewide,Scott R. Person,D,367,33.03%
Planning & Zoning Commission,statewide,W. Jed Larson,R,362,32.58%
Board of Finance to Fill Vacancy- 2 Years,statewide,Sally Huyser,D,1170,100.00%
Zoning Board of Appeals Alternate,statewide,Joi Prud'homme,D,1433,35.42%
Zoning Board of Appeals Alternate,statewide,Vincent Carrano,R,1211,29.93%
Zoning Board of Appeals Alternate,statewide,Frank Ciarleglio,R,1402,34.65%
Planning & Zoning Commission Alt.,statewide,Anne Peterson Creme,D,333,44.70%
Planning & Zoning Commission Alt.,statewide,George Knox,R,412,55.30%
Board of Education,statewide,Edward J Maher,D,936,25.11%
Board of Education,statewide,"Angelo L Amato, III",D,895,24.01%
Board of Education,statewide,John Paul Garcia,R,985,26.43%
Board of Education,statewide,Shawn Uscilla,R,911,24.44%
Regional Board Of Education,statewide,Patrick S Reed,D,1344,26.92%
Regional Board Of Education,statewide,Sheila McCreven,D,1394,27.92%
Regional Board Of Education,statewide,Jonathan Arpaia,R,1115,22.33%
Regional Board Of Education,statewide,Matt Schwartz,R,1140,22.83%
Zoning Board of Appeals,statewide,Dennis Scott Williams,D,311,24.72%
Zoning Board of Appeals,statewide,Catherine A. Magaldi-Lewis,D,291,23.13%
Zoning Board of Appeals,statewide,William Desrosiers,R,336,26.71%
Zoning Board of Appeals,statewide,Kathleen D. Skorka,R,320,25.44%
Board of Education to Fill Vacancy - 2 Years,statewide,Doreen S Fox,D,1204,100.00%
Zoning Board of Appeals Alt.,statewide,Gerard J. Creme,D,363,100.00%
Board of Assessment Appeals,statewide,Janet Brunwin,D,942,50.21%
Board of Assessment Appeals,statewide,Brett Pallotto,R,934,49.79%
Board of Fire Commissioners,statewide,Mark S. Williams,D,350,30.67%
