office,town,candidate,party,votes,vote_percent
Mayor,statewide,Joseph L. DiMartino,D,1263,43.61%
Mayor,statewide,"Gino DiGiovanni, Jr.",R,656,22.65%
Mayor,statewide,Sharlene A. McEvoy,PC,250,8.63%
Mayor,statewide,Richard P. Dziekan,PC,727,25.10%
Mayor,statewide,Tom Egan,D,741,19.90%
Mayor,statewide,David S. Cassetti,R,2676,71.88%
Mayor,statewide,Harry R. Danley Jr,PC,306,8.22%
First Selectman,statewide,Gerard Smith,R,1225,84.02%
First Selectman,statewide,David H. Rybinski,PC,233,15.98%
First Selectman,statewide,Christopher Balay,D,1037,43.94%
First Selectman,statewide,Brendan Rea,R,1323,56.06%
Mayor,statewide,Joseph A. Carfora,D,3935,65.12%
Mayor,statewide,"Samantha ""Sam"" Parlato",R,1964,32.50%
Mayor,statewide,Anthony R. Camposano,PC,144,2.38%
Board of Finance,statewide,Meghan Scanlon,D,2678,37.96%
Board of Finance,statewide,F. Michael Ayles,D,2624,37.19%
Board of Finance,statewide,Robert J.Hartmann,IND,1753,24.85%
First Selectman,statewide,Robert C Yamartino,R,872,67.39%
First Selectman,statewide,Robert A. Bascom,PC,422,32.61%
Town Council,statewide,Dan Polhamus,D,3341,13.80%
Town Council,statewide,Barbara Ausiello,D,3276,13.53%
Town Council,statewide,Anthony Weber,D,3294,13.60%
Town Council,statewide,Erin Barthel,D,3288,13.58%
Town Council,statewide,Margaret Bratton,R,2785,11.50%
Town Council,statewide,Jeff Bernetich,R,2756,11.38%
Town Council,statewide,James Rocco,R,2718,11.22%
Town Council,statewide,Drew Bloom,R,2759,11.39%
Mayor,statewide,Kerri Rowland,D,7773,48.37%
Mayor,statewide,Tony Giannattasio,R,8298,51.63%
First Selectman,statewide,Dan Carter,R,2654,81.86%
First Selectman,statewide,Dan Carter,IND,588,18.14%
Mayor,statewide,Pete Hess,D,3515,100.00%
Mayor,statewide,Justin M Elicker,D,9395,74.43%
Mayor,statewide,Thomas A Goldenberg,R,1667,13.21%
Mayor,statewide,Justin M Elicker,WF,669,5.30%
Mayor,statewide,Thomas A Goldenberg,IND,655,5.19%
Mayor,statewide,Wendy Hamilton,PC,235,1.86%
Mayor,statewide,Roger Uihlein,WI,2,0.02%
First Selectman,statewide,Michael W. O'Neill,D,327,34.57%
