office,town,candidate,party,votes,vote_percent
Mayor,statewide,Justin Elicker,D,5503,70.71%
Mayor,statewide,Liam Brennan,D,2280,29.29%
Board of Education,statewide,Heidi Avila,D,373,27.67%
Board of Education,statewide,Lori Mansur,D,496,36.80%
Board of Education,statewide,Amanda Gabriele,D,479,35.53%
Town Council Two Year Term,statewide,Todd E. Cooper,D,1544,10.73%
Town Council Two Year Term,statewide,Tony Harrington,D,1665,11.57%
Town Council Two Year Term,statewide,Cindi Lloyd,D,1603,11.14%
Town Council Two Year Term,statewide,Kenneth L. McClary,D,1595,11.08%
Town Council Two Year Term,statewide,Michael Oliver,D,1558,10.82%
Town Council Two Year Term,statewide,Danielle C. Wong,D,1660,11.53%
Town Council Two Year Term,statewide,Patricia D. Davis,D,810,5.63%
Town Council Two Year Term,statewide,Suzette DeBeatham-Brown,D,857,5.95%
Town Council Two Year Term,statewide,Darrell L. Goodwin,D,729,5.06%
Town Council Two Year Term,statewide,Rickford R. Kirton,D,809,5.62%
Town Council Two Year Term,statewide,Larry Pleasant,D,802,5.57%
Town Council Two Year Term,statewide,Wendy A. Williams,D,762,5.29%
Town Council District 3,statewide,Alvin O'Neal,D,121,62.69%
Town Council District 3,statewide,Michael Singh,D,72,37.31%
Mayor,statewide,Benjamin D. Florsheim,D,2218,82.15%
Mayor,statewide,Ed Ford Jr.,D,482,17.85%
Mayor,statewide,Joseph P. Ganim,D,4212,51.54%
Mayor,statewide,John Gomes,D,3961,48.46%
Mayor,statewide,Arunan Arulampalam,D,2121,40.52%
Mayor,statewide,Eric D Coleman,D,1574,30.07%
Mayor,statewide,John W Fonfara,D,1540,29.42%
Board of Representatives To Fill Vacancy for Two Years District 7,statewide,Bianca Shinn,D,148,48.52%
Board of Representatives To Fill Vacancy for Two Years District 7,statewide,Christina Strain,D,157,51.48%
Mayor,statewide,Lauren Garrett,D,2689,56.20%
Mayor,statewide,Walter L. Morton IV,D,2096,43.80%
Councilmen District B,statewide,Diana Revolus,D,85,27.78%
Councilmen District B,statewide,Darlene Young,D,127,41.50%
Councilmen District B,statewide,Dajuan C. Wiggins Sr.,D,94,30.72%
Councilor District 4,statewide,Nicholas Hopkins,D,170,47.89%
Councilor District 4,statewide,Kari Monteforte,D,185,52.11%
City Council,statewide,Efrain Dominguez Jr.,D,532,12.56%
City Council,statewide,Reona Dyess,D,491,11.60%
City Council,statewide,Jefferey Hart,D,493,11.64%
City Council,statewide,Alma Nartatez,D,501,11.83%
City Council,statewide,Akil Peck,D,475,11.22%
City Council,statewide,Carmen Jocelyn Rosario,D,467,11.03%
City Council,statewide,John D. Satti,D,487,11.50%
City Council,statewide,Shineika Fareus,D,355,8.38%
City Council,statewide,Mirna Martinez,D,433,10.23%
Board of Alder Ward 15,statewide,Frank R. Redente Jr.,D,216,64.86%
Board of Alder Ward 15,statewide,Ernie G. Santiago,D,117,35.14%
Board of Education to Fill Vacancy for Two Years,statewide,Thais Moore,D,443,58.60%
Board of Education to Fill Vacancy for Two Years,statewide,Frederick Rodriguez,D,313,41.40%
City Clerk,statewide,Lydia N. Martinez,D,4174,54.62%
City Clerk,statewide,Edward Figueroa,D,3468,45.38%
Board of Representatives To Fill Vacancy for Two Years District 9,statewide,Kindrea Walston,D,154,59.23%
Board of Representatives To Fill Vacancy for Two Years District 9,statewide,Walter Mardis,D,106,40.77%
Councilmen-At-Large,statewide,Dominique Baez,D,2859,16.07%
Councilmen-At-Large,statewide,Tasha M. Hunt,D,2824,15.88%
Councilmen-At-Large,statewide,Katie Kiely,D,2784,15.65%
Councilmen-At-Large,statewide,Laurie Sweet,D,2794,15.71%
Councilmen-At-Large,statewide,Steven L. Boddie,D,1585,8.91%
Councilmen-At-Large,statewide,Reginald D. Lytle,D,1627,9.15%
Councilmen-At-Large,statewide,Melinda L. Saller,D,1697,9.54%
Councilmen-At-Large,statewide,Larry P. Zackery,D,1616,9.09%
Board of Alder Ward 17,statewide,Salvatore C. Punzo,D,185,75.82%
