office,town,candidate,party,votes,vote_percent
Mayor,statewide,"Gino DiGiovanni, Jr.",R,202,51.27%
Mayor,statewide,Richard Dziekan,R,192,48.73%
Town Clerk,statewide,Nicole Charest,R,145,55.13%
Town Clerk,statewide,Alycia Stone,R,118,44.87%
Board of Finance,statewide,William I. Duff,R,376,28.04%
Board of Finance,statewide,Nicholas J. Ellis,R,391,29.16%
Board of Finance,statewide,Cynthia Jean McCorkindale,R,365,27.22%
Board of Finance,statewide,"Timothy James Martin, Jr.",R,209,15.59%
First Selectman,statewide,Tara Carr,R,512,59.12%
First Selectman,statewide,Matt Grimes,R,354,40.88%
Town Council Two Year Term,statewide,Quentin Johnson,R,101,10.90%
Town Council Two Year Term,statewide,Marie MacDonald,R,136,14.67%
Town Council Two Year Term,statewide,Joseph Merritt,R,142,15.32%
Town Council Two Year Term,statewide,Seth M. Pitts,R,131,14.13%
Town Council Two Year Term,statewide,Lisa Simone,R,136,14.67%
Town Council Two Year Term,statewide,Elizabeth Waterhouse,R,140,15.10%
Town Council Two Year Term,statewide,Shamar Mahon,R,141,15.21%
Mayor,statewide,Paige Weinstein,R,381,34.99%
Mayor,statewide,Barry Lee Cohen,R,708,65.01%
Selectman,statewide,Craig Whiting,R,296,72.37%
Selectman,statewide,Jessie A. Bunce,R,113,27.63%
Board of Aldermen District 1,statewide,Michael Grosso,R,144,36.73%
Board of Aldermen District 1,statewide,Gary Hychko,R,107,27.30%
Board of Aldermen District 1,statewide,Mary Grace Cavallo,R,141,35.97%
Representative Town Meeting 5th District,statewide,Don Conklin,R,72,16.00%
Representative Town Meeting 5th District,statewide,Dennis T. Flanigan,R,90,20.00%
Representative Town Meeting 5th District,statewide,Ray Ingraham,R,102,22.67%
Representative Town Meeting 5th District,statewide,Kyle M. Nelson,R,81,18.00%
Representative Town Meeting 5th District,statewide,Carolyn Sires,R,105,23.33%
First Selectman,statewide,"William ""Bill"" Warner",R,290,46.55%
First Selectman,statewide,Amy St. Onge,R,333,53.45%
First Selectman,statewide,Wayne J. Malin,R,198,58.06%
First Selectman,statewide,Dana Bennett,R,143,41.94%
First Selectman,statewide,Amy Roberts-Perry,R,141,50.90%
First Selectman,statewide,John A. Samperi,R,136,49.10%
Selectmen,statewide,Joseph J. Asklar,R,131,24.90%
Selectmen,statewide,Louise L. Concodello,R,105,19.96%
Selectmen,statewide,Michael A. Nastri,R,107,20.34%
Selectmen,statewide,Christopher Barella,R,94,17.87%
Selectmen,statewide,Susan Stolfi,R,89,16.92%
