office,town,candidate,party,votes,vote_percent
State Senate 23,statewide,Herron Gaston,D,1775,52.16%
State Senate 23,statewide,Dennis Bradley,D,1628,47.84%
State Representative 16,statewide,Eric Wellman,D,1053,49.18%
State Representative 16,statewide,Melissa Osborne,D,1088,50.82%
State Representative 34,statewide,Kurt Comisky,D,194,18.46%
State Representative 34,statewide,John Olin,D,857,81.54%
State Representative 98,statewide,Moira Rader,D,1327,70.44%
State Representative 98,statewide,Andy Gottlieb,D,557,29.56%
State Representative 116,statewide,Trenee McGee,D,540,63.68%
State Representative 116,statewide,Joseph Miller,D,308,36.32%
State Representative 127,statewide,Marcus Brown,D,573,50.09%
State Representative 127,statewide,Jack Hennessy,D,571,49.91%
Secretary of the State,statewide,Stephanie Thomas,D,84392,75.81%
Secretary of the State,statewide,Maritza Bond,D,26929,24.19%
Treasurer,statewide,Erick Russell,D,63726,57.52%
Treasurer,statewide,Dita Bhargava,D,25253,22.79%
Treasurer,statewide,Karen Dubois-Walton,D,21814,19.69%
Judge of Probate 04,statewide,Mary Deneen,D,2669,78.55%
Judge of Probate 04,statewide,Keith Yagaloff,D,729,21.45%
Registrar of Voters,statewide,Jennifer Marshall-Nealy,D,1544,72.08%
Registrar of Voters,statewide,Troy Mitchell,D,598,27.92%
Secretary of the State,Andover,Stephanie Thomas,D,87,73.73%
Secretary of the State,Andover,Maritza Bond,D,31,26.27%
Treasurer,Andover,Erick Russell,D,67,55.83%
Treasurer,Andover,Dita Bhargava,D,34,28.33%
Treasurer,Andover,Karen Dubois-Walton,D,19,15.83%
Secretary of the State,Ansonia,Stephanie Thomas,D,231,61.93%
Secretary of the State,Ansonia,Maritza Bond,D,142,38.07%
Treasurer,Ansonia,Erick Russell,D,196,52.69%
Treasurer,Ansonia,Dita Bhargava,D,73,19.62%
Treasurer,Ansonia,Karen Dubois-Walton,D,103,27.69%
Secretary of the State,Ashford,Stephanie Thomas,D,157,81.35%
Secretary of the State,Ashford,Maritza Bond,D,36,18.65%
Treasurer,Ashford,Erick Russell,D,113,57.95%
Treasurer,Ashford,Dita Bhargava,D,45,23.08%
Treasurer,Ashford,Karen Dubois-Walton,D,37,18.97%
Secretary of the State,Avon,Stephanie Thomas,D,698,85.54%
Secretary of the State,Avon,Maritza Bond,D,118,14.46%
Treasurer,Avon,Erick Russell,D,436,53.30%
Treasurer,Avon,Dita Bhargava,D,219,26.77%
Treasurer,Avon,Karen Dubois-Walton,D,163,19.93%
Secretary of the State,Barkhamsted,Stephanie Thomas,D,99,85.34%
Secretary of the State,Barkhamsted,Maritza Bond,D,17,14.66%
Treasurer,Barkhamsted,Erick Russell,D,75,64.10%
Treasurer,Barkhamsted,Dita Bhargava,D,24,20.51%
Treasurer,Barkhamsted,Karen Dubois-Walton,D,18,15.38%
Secretary of the State,Beacon Falls,Stephanie Thomas,D,81,68.07%
Secretary of the State,Beacon Falls,Maritza Bond,D,38,31.93%
Treasurer,Beacon Falls,Erick Russell,D,63,52.07%
Treasurer,Beacon Falls,Dita Bhargava,D,26,21.49%
Treasurer,Beacon Falls,Karen Dubois-Walton,D,32,26.45%
Secretary of the State,Berlin,Stephanie Thomas,D,496,77.74%
Secretary of the State,Berlin,Maritza Bond,D,142,22.26%
Treasurer,Berlin,Erick Russell,D,385,60.06%
Treasurer,Berlin,Dita Bhargava,D,126,19.66%
Treasurer,Berlin,Karen Dubois-Walton,D,130,20.28%
Secretary of the State,Bethany,Stephanie Thomas,D,209,77.99%
Secretary of the State,Bethany,Maritza Bond,D,59,22.01%
Treasurer,Bethany,Erick Russell,D,162,60.67%
Treasurer,Bethany,Dita Bhargava,D,53,19.85%
Treasurer,Bethany,Karen Dubois-Walton,D,52,19.48%
Secretary of the State,Bethel,Stephanie Thomas,D,418,81.01%
Secretary of the State,Bethel,Maritza Bond,D,98,18.99%
Treasurer,Bethel,Erick Russell,D,278,53.88%
Treasurer,Bethel,Dita Bhargava,D,157,30.43%
Treasurer,Bethel,Karen Dubois-Walton,D,81,15.70%
Secretary of the State,Bethlehem,Stephanie Thomas,D,81,73.64%
