office,town,candidate,party,votes,vote_percent
Governor and Lieutenant Governor,statewide,Ned Lamont and Susan Bysiewicz,D,687917,54.36%
Governor and Lieutenant Governor,statewide,Bob Stefanowski and Laura Devlin,R,546265,43.17%
Governor and Lieutenant Governor,statewide,Ned Lamont and Susan Bysiewicz,GFCT,2853,0.23%
Governor and Lieutenant Governor,statewide,"Robert Hotaling and Stewart ""Chip"" Beckett",IND,12333,0.97%
Governor and Lieutenant Governor,statewide,Ned Lamont and Susan Bysiewicz,WF,15925,1.26%
Governor and Lieutenant Governor,statewide,Michelle Louise Bicking and Cassandra A. Martineau,WI,101,0.01%
United States Senator,statewide,Richard Blumenthal,D,698559,55.59%
United States Senator,statewide,Leora R. Levy,R,535599,42.62%
United States Senator,statewide,Richard Blumenthal,WF,22446,1.79%
United States Senator,statewide,John Anderson,WI,64,0.01%
United States Senator,statewide,Shabadjob Bharara,WI,12,0.00%
Representative in Congress 01,statewide,John B. Larson,D,145635,59.51%
Representative in Congress 01,statewide,Larry Lazor,R,91535,37.40%
Representative in Congress 01,statewide,John B. Larson,WF,4715,1.93%
Representative in Congress 01,statewide,Mary L. Sanders,G,2848,1.16%
Representative in Congress 02,statewide,Joe Courtney,D,164503,58.17%
Representative in Congress 02,statewide,Mike France,R,113723,40.22%
Representative in Congress 02,statewide,William Hall,LI,2117,0.75%
Representative in Congress 02,statewide,Kevin Blacker,G,2431,0.86%
Representative in Congress 03,statewide,Rosa L. DeLauro,D,134400,56.32%
Representative in Congress 03,statewide,Lesley DeNardis,R,98334,41.21%
Representative in Congress 03,statewide,Amy F. Chai,IND,4003,1.68%
Representative in Congress 03,statewide,Justin Paglino,G,1879,0.79%
Representative in Congress 04,statewide,Jim Himes,D,140244,59.49%
Representative in Congress 04,statewide,Jayme Stevenson,R,93025,39.46%
Representative in Congress 04,statewide,Jayme Stevenson,IND,2493,1.06%
Representative in Congress 05,statewide,Jahana Hayes,D,123794,48.82%
Representative in Congress 05,statewide,George Logan,R,123299,48.63%
Representative in Congress 05,statewide,George Logan,IND,2492,0.98%
Representative in Congress 05,statewide,Jahana Hayes,WF,3982,1.57%
State Senate 1,statewide,John W. Fonfara,D,11706,68.34%
State Senate 1,statewide,Alexander Colaiacovo,R,4900,28.61%
State Senate 1,statewide,Oladotum Michael Oretade,G,321,1.87%
State Senate 1,statewide,Alyssa Peterson,PC,201,1.17%
State Senate 2,statewide,Douglas McCrory,D,21075,100.00%
State Senate 3,statewide,Saud Anwar,D,18399,59.05%
State Senate 3,statewide,Matt Harper,R,12189,39.12%
State Senate 3,statewide,Saud Anwar,WF,569,1.83%
State Senate 4,statewide,MD Rahman,D,22804,58.16%
State Senate 4,statewide,Jacqueline Crespan,R,15565,39.70%
State Senate 4,statewide,MD Rahman,WF,838,2.14%
State Senate 5,statewide,Derek Slap,D,30871,100.00%
State Senate 6,statewide,Rick Lopes,D,13174,53.91%
State Senate 6,statewide,Tremell J. Collins,R,10666,43.65%
State Senate 6,statewide,Rick Lopes,WF,597,2.44%
State Senate 7,statewide,Cynthia Mangini,D,16253,41.70%
State Senate 7,statewide,John A. Kissel,R,21751,55.80%
State Senate 7,statewide,John A. Kissel,IND,472,1.21%
State Senate 7,statewide,Cynthia Mangini,WF,504,1.29%
State Senate 8,statewide,Paul Honig,D,22821,49.86%
State Senate 8,statewide,Lisa Seminara,R,22305,48.74%
State Senate 8,statewide,Lisa Seminara,IND,641,1.40%
State Senate 9,statewide,Matt Lesser,D,19552,52.92%
State Senate 9,statewide,Lisa J. Marotta,R,16419,44.44%
State Senate 9,statewide,Matt Lesser,IND,345,0.93%
State Senate 9,statewide,Matt Lesser,WF,631,1.71%
State Senate 10,statewide,Gary Winfield,D,11615,78.49%
State Senate 10,statewide,John Carlson,R,2416,16.33%
State Senate 10,statewide,John Carlson,IND,178,1.20%
State Senate 10,statewide,Gary Winfield,WF,589,3.98%
State Senate 11,statewide,Martin M. Looney,D,15016,76.50%
State Senate 11,statewide,Steve Orosco,R,4612,23.50%
State Senate 12,statewide,Christine H. Cohen,D,26179,53.56%
State Senate 12,statewide,Paul Crisci,R,21562,44.11%
State Senate 12,statewide,Christine H. Cohen,IND,573,1.17%
State Senate 12,statewide,Christine H. Cohen,WF,567,1.16%
State Senate 13,statewide,Jan Hochadel,D,17172,52.33%
State Senate 13,statewide,Joseph Vollano,R,14491,44.16%
State Senate 13,statewide,Joseph Vollano,IND,453,1.38%
State Senate 13,statewide,Jan Hochadel,WF,699,2.13%
State Senate 14,statewide,James Maroney,D,20863,53.00%
State Senate 14,statewide,Kim-Marie Mullin,R,17721,45.02%
State Senate 14,statewide,James Maroney,IND,777,1.97%
State Senate 15,statewide,Joan V. Hartley,D,12236,88.05%
State Senate 15,statewide,Joan V. Hartley,IND,1660,11.95%
